,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
71,3454,2183,36,0,687,0,0,134,414,2228,567,543,10006,1794,306,1488,200,110,16,0,0,1633,1821,2705,16,0,27,72,80,1368,1142,3454,3382,72,176250,2663,2647,16,2092,120,399,19,17,398,2179,1024,136,176250,357,239,37,0,1.93
72,23411,16332,596,25,4055,0,15,894,1494,16789,2694,3547,10012,12041,2171,9870,777,1108,2216,759,347,11579,11832,18431,628,309,1260,918,486,8203,6627,23407,22218,1189,109037,15279,14756,523,10779,958,2624,177,218,935,16749,5840,1531,109037,2505,1374,141,10,1.83
73,28709,15042,1044,61,9545,0,175,1114,1728,18364,5284,4468,10013,11986,3138,8848,1553,1741,2248,1165,1039,14029,14680,21481,2858,1661,1776,1330,629,7800,5427,27981,26566,1415,105442,16262,15686,576,9417,1671,3475,242,881,1125,16482,10349,6088,105442,3001,2790,422,0,2.23
74,30738,25787,311,0,1725,0,180,688,2047,25043,1937,3089,10014,18229,5913,12316,2196,1908,2708,1116,758,15513,15225,26633,29,254,1396,1842,619,12014,10479,30680,29603,1077,126601,21660,20523,1137,15345,1063,3809,91,215,1237,25372,4178,293,126601,2813,1756,159,0,1.66
75,62435,45242,2348,48,6637,0,471,1127,6562,46744,6571,7298,10023,33693,14083,19610,4153,3587,8097,3623,2305,27151,35284,50726,501,892,3385,3653,1150,16377,24768,62424,60593,1831,130452,37261,35596,1665,25796,1922,6925,125,828,1997,43877,15054,3818,130452,8194,4893,449,0,1.8
76,59001,45305,1731,0,4274,0,41,1230,6420,46251,5788,5451,10024,28751,11343,17408,3757,3952,6724,2836,1919,26607,32394,47138,925,1217,2866,2813,1263,16643,21411,58479,56321,2158,131668,35610,34684,926,26123,2602,4982,552,425,2010,42618,12795,3469,131668,7099,5236,814,59,2.02
77,64264,9038,8737,68,2888,83,165,691,42594,31324,14582,15477,10032,21222,1742,19480,4105,3331,4428,2770,1103,32163,32101,48203,8841,5676,8906,7003,2769,9297,5711,64050,55482,8568,50391,37619,34416,3203,11003,11059,5744,2426,4184,2109,18639,42833,22647,50391,4833,4672,1376,478,2.98
78,53142,39656,1651,27,3100,0,100,793,7815,40044,8917,3366,10306,20007,14183,5824,4427,3897,5010,2993,1458,24906,28236,38676,1577,2391,13418,7027,2806,6690,4767,52666,50468,2198,79569,26027,24890,1137,9988,4435,5691,2291,2485,1514,35191,15643,5939,79569,5450,6881,1620,169,2.63
79,50348,16754,3862,79,5383,39,135,630,23466,33287,7609,6065,10461,18927,6162,12765,2966,2758,3919,2623,1296,24497,25851,36161,3464,3462,10137,6047,2883,5993,4175,49517,45733,3784,56612,25743,23737,2006,8185,5975,5246,2133,2198,1758,21513,25658,9491,56612,4981,5416,1492,211,2.6
80,40733,8770,6535,0,2688,0,364,618,21758,22804,8323,7666,10705,14260,4291,9969,2168,1833,3094,1312,802,19979,20754,27033,3320,3570,6934,4500,2043,3911,2755,40656,35589,5067,48540,20327,18525,1802,4742,4981,4419,1814,2569,1346,15603,22165,10434,48540,2995,4595,1486,204,2.84
81,9687,4611,432,0,2867,0,19,287,1471,5009,1820,2539,10018,5095,462,4633,406,304,419,179,105,5144,4543,8150,393,327,746,747,315,2885,2737,9680,9099,581,108914,6910,6657,253,4263,888,1258,161,87,707,5276,4079,1544,108914,1099,409,13,0,1.88
82,64548,16194,23723,83,6121,5,287,1708,16427,45635,6888,9913,10027,23811,3237,20574,3194,2781,3618,2249,695,29804,34744,41409,2855,3467,8416,4759,2062,9479,10371,64417,59690,4727,46113,28953,27326,1627,14452,5245,5494,867,1268,1839,37610,23650,6837,46113,6032,4957,998,161,2.4
83,27428,14100,1726,39,5218,0,0,437,5908,16920,3367,6085,10036,16183,1565,14618,1365,1646,2118,860,128,14922,12506,22779,669,1048,1681,2192,745,9257,7187,27428,25823,1605,91936,20136,19172,964,13168,2089,2888,564,463,1525,16759,9531,3362,91936,2587,926,210,10,1.66
84,41064,15539,10335,99,3918,12,184,614,10363,27166,8137,4631,10304,14172,7441,6731,2766,2882,3277,1817,746,20233,20831,27661,1861,2617,8441,4043,1991,5036,3672,40134,37596,2538,52199,17766,16557,1209,6180,4068,3591,1229,1489,1933,23335,15201,5724,52199,3275,5043,1343,368,2.82
85,30186,25268,310,50,1502,0,0,168,2888,23703,4159,1892,10308,10648,8826,1822,2201,2156,3007,1656,697,14569,15617,21689,467,1013,7117,3491,1797,4744,3060,30168,29330,838,93963,14785,13831,954,5953,2276,3154,1174,1274,1388,21946,6659,2207,93963,3166,3957,1252,52,2.83
86,48351,791,13962,96,356,0,107,209,32830,27728,7325,8678,10459,16382,1875,14507,2909,2033,2526,1771,567,23004,25347,29872,5642,4618,8812,4572,2070,3177,981,48225,43202,5023,27687,20108,18237,1871,4145,6733,3850,1169,2340,1561,14779,29881,12531,27687,3713,5700,1544,268,2.9
87,72479,2074,50054,191,2169,27,900,1093,15971,37427,19306,11340,10466,23704,9191,14513,5098,4341,5044,3015,1031,31842,40637,48057,4075,6122,13908,8489,4260,7800,3403,71872,65060,6812,51477,36368,32677,3691,10168,10207,7118,1831,3353,1773,49354,18698,6052,51477,5435,7829,3003,370,3.03
88,12127,147,4229,12,9,0,33,9,7688,6541,1332,3254,10474,3488,219,3269,459,565,578,243,92,6430,5697,7323,1442,1237,1989,1249,559,667,180,11455,9943,1512,25493,4571,4063,508,757,1619,770,352,565,800,3755,7308,3689,25493,736,1113,483,69,3.18
89,12544,8390,1256,0,848,0,13,419,1618,10262,1153,982,10803,3947,3016,931,861,513,890,558,227,6199,6345,7888,200,288,1301,724,274,2271,2830,12544,12113,431,152932,6162,5848,314,3703,686,931,271,257,146,9608,2254,626,152932,986,1710,454,77,3.17
90,3028,1834,47,0,899,17,40,79,112,2133,268,563,10004,1659,635,1024,137,187,167,33,28,1267,1761,2547,27,1,55,147,14,1210,1093,3028,2879,149,157645,2173,2076,97,1581,50,428,2,15,442,2083,820,82,157645,425,280,4,0,1.82
91,92805,50675,9197,51,8271,14,372,2489,21736,64537,12076,11833,10025,41910,12013,29897,5353,6430,11198,4587,2805,41890,50915,70558,4087,2980,7196,6807,2421,20072,26995,91776,87759,4017,85930,51377,47943,3434,32166,5557,7237,1215,1768,2390,57330,31564,11053,85930,10708,7783,994,177,2.09
92,29882,3217,17098,21,536,123,146,1086,7655,22170,3513,3579,10030,12736,1471,11265,1414,1684,1657,999,663,13233,16649,21781,1790,3051,5175,3918,1237,4026,2584,29882,27415,2467,37232,16025,14041,1984,4905,4055,3047,634,1400,1493,18698,9077,3958,37232,2606,2646,499,127,2.3
