,COMMUNITY,cases,case_rate,deaths,death_rate,Date,Cases_1,Case_Rat_1,Deaths_1,Death_Ra_1,COVID19__2,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,PHLTH,MHLTH,DIABETES,CASTHMA,BPHIGH,CHD,OBESITY,MEDIAN_INCOME,avg_ppl_per_household
12,NORTH HILLS,1160,1884,34,55,2020-07-27,1754,2849,44,71,NORTH HILLS,63427.78698758981,11062.801146523198,2209.6301676519765,11.443159529743745,8646.943530278626,57.7027366681671,123.17807555503738,1001.5339597276969,40314.55421165535,36272.12639002645,12436.47758072907,14164.66099732971,17048.587834432914,7888.714815481766,9159.873018951146,3337.8962137584913,2603.4378486190876,3636.4321938177013,1880.3797126672184,769.0150427388191,31132.398035396156,32295.388952193643,38629.99709512542,6075.939683605929,3947.5587960607854,10013.709092027371,6713.98436203094,2643.8635641098817,7222.881117012182,2012.0604802783312,63153.85083723148,55144.04323895569,8009.807598275782,32399.936521437066,30008.75562572815,2391.180895708912,8428.142455839534,7099.429318955524,7101.726841101192,3008.7049472389185,4370.752062592988,4782.467042049934,16235.15109338482,42037.21653084232,16610.727393741647,3467.5932931739667,5790.312741214338,3165.839234090399,599.6979167090828,7.288386298735829,7.839472746489675,5.649108466736583,4.9180168462419935,13.70071340033249,2.582274122278023,14.584334109028541,34525.94053780533,2.0808708483941034
13,SUN VALLEY,905,1724,15,29,2020-07-27,1543,2940,29,55,SUN VALLEY,52542.455768157844,11936.204948402208,743.1160625053375,68.51100201278905,3442.880716895724,32.26356722051956,100.77957957876998,619.0492445887173,35599.65064695379,28256.842854592192,13249.719611154325,10332.875320806752,14061.014042542192,7733.145081432658,6327.868961109534,3624.797351776926,3037.410828905293,3694.725664018855,1765.0103026961965,713.0575943916352,26000.82486062273,26541.630907535116,35195.8886461931,7078.390785457552,4090.09528066626,9095.513172521192,6159.9496617835775,2179.8387457586036,5003.279678242744,1588.8213217631724,52331.172381331155,45399.55274675419,6931.61963457697,26084.79014146681,24365.58843764854,1719.2017038182685,6272.775060469002,5999.979874372802,5162.515315074787,3054.2225990832635,3876.0955886486827,4766.945184790265,11993.856231759715,37612.06073240887,14772.78665853385,2915.5336867347487,5269.221548552386,2251.5779094495515,602.3946247870979,7.000118955400669,7.250162116102212,5.584454366581701,4.6693953487286,13.168367808774828,2.6276249637214115,13.813780815581806,30011.583053210477,1.9314868043372106
14,PANORAMA CITY,1768,2350,74,98,2020-07-27,2774,3686,90,120,PANORAMA CITY,69801.40249914455,6136.1132578403,2200.6861637149486,58.086229194396815,9783.429075763244,48.2206971603949,146.37412378710974,183.0016798401189,51245.49127184403,32614.501588545765,15299.730782994644,21186.632347595343,19119.099244550234,6385.485658554505,12733.613585995736,3867.240139303339,3445.7021889824923,4009.7933901146425,1805.574526572737,755.7505636247415,34263.07224859175,35538.330250552805,44086.95347765311,9920.200186059488,5900.113951159299,11849.0289072564,6887.130851699926,1989.1524527918145,6454.243567562005,1087.083561124186,69513.41691503473,58403.8524977552,11109.564417279522,36734.31573912499,33304.29038538251,3430.0253537424687,6014.976239511596,9438.263527316507,6549.188831633947,4928.740450656025,6373.121336264448,5501.626130423337,10071.032172533762,54854.08744778749,23783.56745313859,4408.492959404936,7233.517321462029,2953.227408749671,632.2294908435425,7.851831592515175,8.299851827381865,6.0830256906109135,4.81807066857327,13.305770408102093,2.597062956763376,14.960868206387682,23918.00456266367,1.9448971128855566
15,WEST HILLS,352,868,27,67,2020-07-27,516,1273,30,74,WEST HILLS,38249.74186798152,23538.271554509945,1418.0894005639936,116.49363635459096,5752.225654367248,12.79608515176827,168.7166571792251,1316.4787247999195,5926.670155054825,27348.436374717658,8196.06927443544,2347.506860988208,12657.595873682621,10747.152676706004,1910.443196976615,3391.4497369471687,2760.198592383901,3759.4588295218227,2198.9556682653656,1037.6060266076634,18226.425389723958,20023.31647825757,27803.132848897774,938.157505726602,1045.889924807458,4946.907282294694,5579.69620807678,2704.990321345098,7832.311504591232,4755.18010205591,38088.72907372696,35976.71006701427,2112.019006712683,20294.748298526305,19146.64481477455,1148.1034837517523,9940.50964861297,2523.638926975453,4624.371179165392,990.2268136581846,1067.8982463625496,2585.8601543755112,24348.389044385985,12217.843504856564,4332.276421334813,3667.1552682110696,4911.547946688352,1097.4020909026603,125.97411671358378,6.480943763380524,6.40116627593857,5.403653691418183,5.4471000548829265,17.182346636355987,3.318378226548893,13.162321811348448,67641.23226616677,1.7961348927905263
16,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,50921.98343320404,13435.659286710494,2170.822047451838,124.24452230155535,8757.964712454337,117.83006324625791,336.76133508463704,945.8833976372292,25032.81806831769,28412.51495728293,11754.855695914419,10092.894280992074,15352.700466398986,7837.22202155665,7515.478444842337,3292.43228641674,2925.6524615191956,3627.8252486324295,1582.1797820959941,791.8340112874763,25880.120044771287,25041.863388432754,35426.495074965555,4782.819578252739,3483.573659584256,8515.490227439079,7086.774617141793,2448.5211742605125,6747.568517292431,2361.747300994749,50801.62476704711,44108.13560857091,6693.48915847621,28364.202795161702,26597.17177107261,1767.0310240890885,8007.248768341733,6462.306049452996,6115.243388243237,2847.7974755517434,3164.5760894828986,4144.716914370021,17597.298944313126,30252.23079677451,15113.774252641273,3777.212826590215,5080.645475025432,1616.570333219957,540.5348486585164,6.306337403058548,6.669676885169201,4.985059138579531,4.5778541408428195,12.821405172059253,2.450281685020595,12.397102923099283,32968.02698522183,1.716577504320414
17,CANOGA PARK,1217,1864,47,72,2020-07-27,1800,2757,57,87,CANOGA PARK,62380.658705955866,14298.522394121861,2513.2901804086086,72.0179580062467,8452.933978785415,16.451813735482702,432.42928518629355,908.4388733331929,35686.574222378746,33178.127865300776,10462.494881656266,17885.697814595587,19723.900110239672,5974.324694112996,13749.575416126678,3555.5277886902945,2307.974055605097,3314.694990829319,1732.2505201259455,904.6398385331504,31628.24973594041,30752.40897001545,41074.27679049712,6588.091161679894,3932.2116977893143,9458.898081344618,7879.019722551144,2965.6361781599444,7397.023327652891,2853.3966213193085,62034.244365838094,52000.07203149687,10034.172334341214,35119.82265722771,32996.93710668214,2122.885550545575,9660.941160297758,8258.805610887044,7315.442356195941,3519.807948965911,4241.940030335488,5301.675663519266,18226.15092223523,39752.18150036265,20220.236320209464,4756.182597751317,6111.602023791882,1999.125623204249,534.6520209270378,7.517207914473061,8.216525502767675,5.536715340978168,5.330359885331304,14.213818433159014,2.7137349490753873,15.025594078528405,36757.53458485547,1.9569200431652687
18,NORTH HOLLYWOOD,2142,1415,42,28,2020-07-27,3635,2401,67,44,NORTH HOLLYWOOD,139996.94955469805,52837.67418445313,6444.133025630521,202.6407277700485,10430.369054984209,220.49541887409515,344.1301505668009,2341.354978409197,67176.15201401006,80302.67819088315,32078.977151576102,25662.31675260572,52050.80939076498,14445.658718553435,37605.15067221157,8797.60631689416,6769.475108309574,8582.88274770216,4729.322884396397,1730.0305724679215,70594.2092938075,69402.74026089054,100883.13104949494,11949.477146414672,9350.329698122467,20806.708014069096,20841.34926183999,8768.185690556576,21777.025970848215,7390.055267643969,139612.61050580366,122580.83716682669,17031.773338976946,78725.24096218354,73191.80681686818,5533.434145315378,26813.795224100075,15949.084897250037,15420.888287769743,6158.179474541481,8849.858933206851,13524.263676531558,50459.00363411485,83121.53298638384,35800.70055970974,11825.344802597714,12858.766884522567,3859.8104821652296,703.5816354756419,8.81591511023489,9.75294908152533,6.576943656642276,6.416320795282845,16.818617071190737,3.2373433921845804,18.387538368403987,35910.89104436387,1.964741261308568
19,VAN NUYS,1782,1912,55,59,2020-07-27,2837,3044,85,91,VAN NUYS,94135.7412895031,20153.4581654955,4484.601978879456,93.5518885606626,6297.779943299964,63.77742024008812,504.60145389813914,1499.0182360547349,61038.95220307454,49398.12096955947,17162.182744156486,26175.887204131548,30910.757547908437,7445.5528665323745,23465.204681376068,5691.016258919635,4167.513962753422,5040.642529098949,2172.2806844240845,1148.8404865540451,47592.28087109097,46543.460418412105,60913.834378196116,12134.892861587081,6480.306590046544,13882.56216274098,11669.723949136918,4214.156802530029,9084.261411272888,3447.9306008816848,93549.97347239124,77652.25677906179,15897.716693329457,52509.45428661912,47796.05358323911,4713.400703380016,11010.64352501124,13553.24591805592,9605.827476294147,6581.425315466691,7044.911348411109,7987.674076050611,22696.688333741004,64699.58701463116,34710.29023822802,6811.447442597728,9234.711137109975,3395.4763361577616,646.7454247083333,6.771431221286602,7.221504175459598,4.962466245415966,4.432820813731785,11.992111865920025,2.40942616294242,13.336469718130454,20980.715722291774,1.415262679908309
20,RESEDA,1466,1913,60,78,2020-07-27,2076,2710,80,104,RESEDA,77926.26388933751,22939.19782642262,3226.482757662373,203.08913952405723,10095.996569058729,47.89401864555778,449.65511885660874,1630.4561357534003,39333.492323414175,42681.10182066445,20109.131652586813,14170.255408044648,23515.539239382,11174.354780532609,12341.184458849393,4785.909054554274,4411.091360187879,5186.26161210906,2894.6185326019386,1678.9177858755172,38535.35723356058,39390.90665577694,53098.574355188364,7014.063966297257,4893.940273550504,12414.950633388029,11456.897793208682,3820.066934289174,9670.269530533058,3828.385223921658,76999.8846275567,68465.25237753007,8534.63225002665,41054.41883572833,38604.92144462329,2449.4973911050465,12526.195693117188,9527.564288841619,8952.21548911051,3367.167970861577,4231.778002692396,6328.556841898508,24136.177254199807,49198.40075931449,22101.28637631922,5355.477047507738,7742.095151373738,3232.194765268169,488.1581407263259,7.129676347318453,7.25789599580458,5.568563852794394,4.968935796854231,14.45767098187456,2.972565746257744,13.715531180048126,34089.9165178851,1.8147947250357372
21,LAKE BALBOA,596,1412,12,28,2020-07-27,977,2315,19,45,LAKE BALBOA,41296.33572170857,11906.46984117086,1816.8002630506585,38.03446846571505,3771.7067932058653,25.98823271434409,448.6646660500953,1083.8646134688088,22204.806843582235,25160.332818660816,7404.281787502641,7965.82634040542,13315.093602956242,5912.807695813502,7402.28590714274,2574.6861057241235,2142.9401114540683,2510.593734222881,1218.9714445759741,594.5106643345421,20967.48265984074,20328.85306186784,27830.73932654381,3805.7313041356038,2024.514244776791,6339.796562474653,6040.538675239079,2114.722924550712,5160.529622367804,2344.905992999163,41244.69952414277,36509.09155688662,4735.607967256162,22664.283801039335,21028.116051753263,1636.1677492860742,7407.617965252217,4656.216043168164,4055.518426042688,2362.238776967012,2546.5248403231803,3527.7252152489627,14183.449160443053,24144.506490506545,11520.840489354756,3514.0568415083967,3972.660782349492,1414.3206126581829,323.4462014677954,7.1098709991683835,7.5993263325105,5.35745878578182,5.123430264710126,14.18575626039358,2.755492258451586,14.708916079040758,37355.019032885524,1.7730757205675032
22,WOODLAND HILLS,598,879,23,34,2020-07-27,845,1242,31,46,WOODLAND HILLS,70509.59979135529,47080.010245759935,3924.216638351642,172.37087255749634,7475.411553412935,67.26815155296657,259.85697769860735,2510.2714743380866,9020.193877683616,47543.65659765827,14550.24232725119,7247.389145786038,27820.077246294095,16234.283157315082,11585.794088979012,5278.546478067373,4910.6442673378615,6829.588065940729,3717.0641499680714,1933.8588493434872,34296.59672669278,36213.0030646625,52505.51843382732,1266.6260905638676,1604.1598618967548,7535.947932296628,10079.332354444212,4474.376588537417,17242.13458670313,10302.941019385293,70406.06415738046,67146.42205777508,3259.6420996053816,38949.61277847113,36373.728497511285,2575.884280959834,20632.250472234282,4226.78271548815,8403.365962030422,1349.1853264945794,1762.1440212638531,5374.378344445355,42816.61151682855,23678.05217706939,8011.773155701585,8144.202694305147,8186.58529769058,1400.0177077880023,32.114396984720244,5.605568822194344,5.824120636168971,4.363523415794984,5.016904540995303,14.854490851329537,2.896676598831613,11.882502454517335,56133.276802291635,1.4020598173586487
23,ENCINO,364,806,14,31,2020-07-27,560,1240,18,40,ENCINO,46995.33907364949,34596.13342234655,1466.3537605754468,30.205417574255485,3423.364949827998,28.00005591537712,54.202888461923685,1602.1903052543867,5794.888273693539,30719.66819325258,11814.58970306886,3965.193208453477,18759.581810670577,10882.045674364417,7877.53613630616,3259.2351515473038,2843.6052360218955,4726.660980819008,3130.156505195072,1373.2770583896186,21550.992980036644,25444.34609361284,34630.65076034743,1070.2922628559475,1097.5715094169423,4699.936744198893,6064.8008768216,2455.9482293758488,10569.48805775972,8672.613079918487,46905.02395629872,44411.15359587417,2493.8703604245457,25181.11377059423,23775.81375215852,1405.3000184357115,13758.272607637136,2785.680427030209,5122.597483330628,982.584248024457,1126.678986136086,3874.5176436099805,25879.078642716842,18586.489090542545,5783.82396029925,5740.807182871468,5473.483390831388,907.1224341196466,47.26268476208157,6.110379790446688,6.008514688989503,4.813815851140785,5.23016721071679,16.397590199771315,3.3684214327008455,12.568371652973857,66218.07868370344,1.5256568853010615
24,TARZANA,473,1532,34,110,2020-07-27,608,1969,37,120,TARZANA,30313.207130981802,20376.00871421748,1705.3409900057666,9.65325928518678,2181.996035394669,0.002458154197020421,191.8566297827307,1055.0130096834148,4793.336034458351,18312.467940102513,8035.974329602647,3445.9107092246686,11438.652704853914,6352.603172643811,5086.049532210103,1888.4218555255661,2096.122738686321,2893.127893715907,1509.4209247191434,957.5302719944405,15026.20129639083,15287.00583459097,22169.596672774533,664.8307825937153,924.3158533497973,3341.2467933159,5071.1886098583345,1567.6862185285313,6307.546430232003,4292.781984896253,30131.622886072208,27851.457917354088,2280.1649687181193,16013.087156863481,14984.856667606427,1028.2304892570571,7416.694762516472,1985.1670197457443,3912.858079241167,613.1984058050515,1056.9384002979918,2379.8020796565106,15111.651619562976,13404.745117126955,5284.942711577347,3340.7131968092685,3457.5487356537515,645.1128808779956,41.854489814323955,4.8265091896790615,4.925065700247441,3.7534127313240315,4.118760615599477,12.478183739327285,2.5037362843641073,10.044903121952029,42122.41987614455,1.1672393860372172
25,SHERMAN OAKS,655,751,14,16,2020-07-27,1003,1150,26,30,SHERMAN OAKS,89447.039437974,60128.754609219955,4751.335386142236,79.56133685685154,6608.147301878919,97.94104064001435,116.47783642602899,4125.498209381262,13539.323717428746,66397.36955042738,14366.604776972386,7516.32354348493,40308.439263703105,16484.7677500073,23823.671513695816,5893.290321698607,4967.110873375642,7154.536871153838,3608.0515405293145,1944.1142761963092,42771.7818397372,46675.257598236814,68931.25117649148,1427.9756411610372,1587.4764954356222,7911.389640610818,13422.501646606017,4557.814651481163,25789.185079009505,14234.908022187314,89170.209046632,83317.22530171911,5852.983744912905,57550.20085824124,53829.94695413702,3720.2539041042164,30999.04067202127,7266.997660536727,11399.62795447474,1619.6805880756133,2544.600079028675,6579.0918904226655,58969.284110357534,25167.212710078362,7203.503545681649,11474.133348745348,8821.59035626451,887.3118020525875,47.829915316061616,5.249377960329299,6.004115889223432,3.865993779598591,5.14735344459581,13.573063696116321,2.4154379983060967,12.462579839741666,56087.35227201606,1.3392798949952045
