ZCTA5CE10,GEOID_ZIP,CLASSFP10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_NUM,AVG_ASTHMA,AVG_SMOKING,AVG_DIABETES,AVG_MHLTH,AVG_OBESITY,AVG_PHLTH
10464,10464,B5,G6350,8993192,237116,40.8695935,-73.7958478,10464,11.14,14.78,12.8,11.86,30.38,13.18
10465,10465,B5,G6350,8799203,2711,40.8240184,-73.8234687,10465,9.9429,15.319,10.5905,12.5143,26.9857,13.1476
10466,10466,B5,G6350,5215221,5147,40.8909641,-73.8462394,10466,12.2259,17.6,12.5593,13.7037,32.7593,13.6704
10467,10467,B5,G6350,6049162,0,40.8699533,-73.8657645,10467,11.2448,18.2,12.4655,14.5379,32.1759,14.6138
10468,10468,B5,G6350,2773214,45100,40.8689403,-73.899995,10468,10.5308,17.6615,12.9538,15.0423,31.6538,15.3346
10469,10469,B5,G6350,6404388,0,40.86861,-73.8481368,10469,11.4629,16.5486,12.4229,13.0943,31.1229,13.5457
10470,10470,B5,G6350,3703474,3918,40.8895259,-73.8725858,10470,11.1222,17.5333,10.6333,13.5222,28.9111,13.2333
10471,10471,B5,G6350,6659943,28258,40.8987884,-73.9031302,10471,9.4727,10.9727,8.4727,10.6455,21.7636,10.3
10472,10472,B5,G6350,2729341,0,40.8295564,-73.8693102,10472,10.9208,19.1958,14.0458,15.8833,33.3417,16.4292
10473,10473,B5,G6350,5539540,5538,40.8186904,-73.8584741,10473,11.0273,17.5773,14.1545,14.9136,33.0682,15.7318
10001,10001,B5,G6350,1591494,0,40.7506364,-73.9971767,10001,7.8462,10.2615,5,9.9,13.5615,7.0154
10002,10002,B5,G6350,2275174,0,40.7157758,-73.9862109,10002,8.4739,15.9174,11.5826,13.013,16.7826,12.9913
10003,10003,B5,G6350,1493003,0,40.7318292,-73.9891809,10003,8.2412,10.1118,4.6118,10.1529,13.2824,6.9235
10004,10004,B5,G6350,1394739,10096,40.6888735,-74.0182129,10004,7.7714,9.1143,3.9429,9.2143,12.9714,5.8286
10005,10005,B5,G6350,188254,0,40.7060041,-74.0087853,10005,7.7,8.775,2.175,9.35,11.3,4.6
10006,10006,B5,G6350,241687,0,40.709627,-74.0129717,10006,7.45,8.575,3.4,8.575,12.325,5.475
